iter	Passed	Remaining
1627	20974	4792
1628	20988	4779
1629	21002	4767
1630	21017	4754
1631	21030	4742
1632	21043	4729
1633	21056	4716
1634	21069	4703
1635	21082	4690
1636	21095	4677
1637	21108	4665
1638	21121	4652
1639	21134	4639
1640	21147	4626
1641	21164	4614
1642	21177	4601
1643	21190	4588
1644	21203	4575
1645	21216	4562
1646	21229	4550
1647	21243	4537
1648	21255	4524
1649	21269	4511
1650	21282	4498
1651	21290	4485
1652	21303	4472
1653	21315	4459
1654	21328	4446
1655	21341	4433
1656	21354	4420
1657	21367	4407
1658	21380	4394
1659	21393	4381
1660	21406	4369
1661	21419	4356
1662	21432	4343
1663	21446	4330
1664	21459	4317
1665	21472	4304
1666	21485	4291
1667	21498	4279
